uid,score,time
52,1.935950192008278e+34,0.10042715072631836
53,2.7820857367048096e+16,0.05388689041137695
54,1.5443924348789208e+32,0.10677433013916016
55,24916527.296265144,0.05623602867126465
56,3.739627483662066e+33,0.10425019264221191
57,25970809.42544291,0.07229232788085938
58,370847614529512.0,0.056632041931152344
59,3.805790977141624e+22,0.09705018997192383
60,4.445497082899803e+23,0.09704971313476562
61,3.5158687584776966e+29,0.08511829376220703
62,1.0567675254433892e+25,0.09772062301635742
63,4.667026460511154e+36,0.12074685096740723
64,1.8025252825410197e+33,0.1315305233001709
65,1.2099297101686075e+39,0.1373305320739746
66,25910192.511089236,0.05726933479309082
67,3.296618929518002e+38,0.13635993003845215
68,3.2313895938137156e+23,0.10912752151489258
69,3.934397540642839e+35,0.11189651489257812
70,3.819227650912615e+21,0.08670759201049805
71,1.182392489566113e+24,0.09080028533935547
72,24763926.742105544,0.06631827354431152
73,1.9357391976340666e+36,0.09226036071777344
74,0.0,0.09886455535888672
75,851011483252.9133,0.09086799621582031
76,1.3437573466879764e+18,0.07068514823913574
77,5.732787301681419e+35,0.1217660903930664
78,3.807304879347154e+21,0.1399993896484375
79,2.104191375955036e+22,0.08471822738647461
80,2.542470704961461e+29,0.10177183151245117
81,9.854713763197335e+44,0.16972899436950684
82,1.0234802794663593e+40,0.1261429786682129
83,1.3736731537516434e+18,0.07012152671813965
84,1.1859405273267185e+24,0.0907902717590332
85,6.826083576645133e+30,0.10388040542602539
86,4.777787194693869e+26,0.10402584075927734
87,2.0567289523301573e+19,0.07971763610839844
88,1.593644044104043e+19,0.12546062469482422
89,1.1820565352667451e+24,0.08909773826599121
90,2.648754134333033e+31,0.11898064613342285
91,4.621526477096861e+23,0.12247514724731445
92,2.3345851752745184e+31,0.10670328140258789
93,2.0754933526640405e+22,0.10701775550842285
94,6.085579559172868e+24,0.10221362113952637
95,25904080.46852228,0.05983543395996094
96,2.052525898465101e+22,0.1044626235961914
97,557624317239562.0,0.07075166702270508
98,3.6828313592454455e+22,0.08307194709777832
99,3.2142679551827546e+37,0.10184288024902344
100,5.443585528042675e+28,0.10669660568237305
101,3.8814590627300706e+24,0.08625984191894531
102,8.789007111731026e+28,0.14383983612060547
103,1.2192637039225948e+31,0.11687636375427246
104,0.0,0.09302735328674316
105,0.0,0.07066559791564941
106,25750422.791170254,0.08205056190490723
107,6.313706955854982e+29,0.0919640064239502
108,0.0,0.07251930236816406
109,3.814238580695034e+42,0.11963772773742676
110,2.7204815590655588e+26,0.0742194652557373
111,5.227305416082148e+37,0.14862895011901855
112,1.2464650041238614e+26,0.10334277153015137
113,1.3437573466879764e+18,0.07230782508850098
114,1.9061109753354335e+22,0.08835649490356445
115,2.028036186867577e+22,0.09871625900268555
116,1.9309098686016924e+26,0.10472798347473145
117,1.5013306850370893e+40,0.1318807601928711
118,847339284364.2856,0.05980277061462402
119,1.9746590527972174e+29,0.14821100234985352
120,0.0,0.10025310516357422
121,8.85914406863043e+28,0.12144732475280762
122,4.248119722936337e+25,0.10324692726135254
123,5.068223615685624e+30,0.08952116966247559
124,1.1971006869728812e+24,0.10240960121154785
125,1.6553667071260064e+19,0.09006571769714355
126,1.4209124899901806e+21,0.10285568237304688
127,615374963355926.8,0.10261821746826172
128,1.3698518709348072e+27,0.12218594551086426
129,2.9895252787460925e+36,0.1371936798095703
130,2.8898552125341072e+25,0.09127259254455566
131,493412512430458.2,0.09393429756164551
132,1.1971006869728812e+24,0.0849606990814209
133,2.8015766380586026e+37,0.12666630744934082
134,1.4313401239684074e+25,0.10154414176940918
135,2.050489249721007e+22,0.07288026809692383
136,2.775808786956492e+37,0.11826062202453613
137,9.951907699829553e+36,0.12489128112792969
138,2.4786641410145016e+40,0.14683985710144043
139,2.570097776215853e+33,0.1251204013824463
140,1.729067936838338e+26,0.11210107803344727
141,2.2933216541415727e+26,0.10878705978393555
142,2.0368040674467565e+29,0.1285400390625
143,3.2313895938137156e+23,0.09335899353027344
144,6.490462902017925e+26,0.0890045166015625
145,1.8578575161079605e+20,0.08255124092102051
146,8.939844120705576e+22,0.07237696647644043
147,4.291187638654254e+44,0.11386537551879883
148,3.385747271411913e+23,0.09705901145935059
149,1.846253443367759e+20,0.08698773384094238
150,1.811231040316115e+20,0.11230015754699707
151,2.0432183462377832e+19,0.06840705871582031
152,1.9309098686016924e+26,0.10419487953186035
153,2.9762100710390233e+36,0.13723111152648926
154,1.6606440371236593e+29,0.13176345825195312
155,8.331088857814444e+30,0.10936093330383301
156,6.519542175571296e+26,0.0825650691986084
157,2.782651270801269e+16,0.05910086631774902
158,1.4817905004898466e+40,0.13075733184814453
